common_name,species,info
Pale-vented Thrush,Turdus obsoletus,"Ranging from Costa Rica south to western Ecuador, the Pale-vented Thrush is, like a great many Neotropical thrushes, a rather dull and uniformly colored bird. This species is dark rufous-brown above but rather paler below, with an obviously white vent, and a dark-streaked whitish chin and throat. The sexes are similar. It is found in most strata, except the canopy, of humid forest at altitudes ranging from c.500 to 1900 m, but is most frequently encountered at edges and around clearings. Like other thrushes, the Pale-vented Thrush is an omnivore, taking both insects and fruit, and although mainly arboreal it will descend to the ground to feed, and will form small single-species groups, as well as joining mixed-species foraging flocks."
Clay-colored Thrush,Turdus grayi,"The Clay-colored Thrush’s range just reaches the United States, in southernmost Texas, but elsewhere it ranges south through eastern Mexico and over much of Middle America to northwestern South America, in Colombia. Like a number of other Neotropical thrushes, it is not a very prepossessing bird, being mainly dull brown over the upperparts, becoming paler brown below, with a whitish throat streaked darker, and pinkish legs, and a slightly yellow bill. At least nine subspecies are generally recognized, although geographical variation between them is generally rather minor, involving slight differences in overall coloration in most instances. Compared to many other Neotropical thrushes its ecology and behavior are reasonably well studied, in large part doubtless due to its relative ubiquity. The Clay-colored Thrush is a generally common and easily observed bird, which is found in all manner of lightly wooded areas, often in close proximity to mankind."
Spectacled Thrush,Turdus nudigenis,"Also known as the Bare-eyed Thrush, this member of the genus Turdus is a reasonably common inhabitant of wooded lowlands from eastern Colombia to the Guianas and northern Brazil, as well as in the Lesser Antilles as far north as Guadeloupe. In the past, this species was sometimes considered conspecific with either the Ecuadorian Thrush (Turdus maculirostris) or the Clay-colored Thrush (Turdus grayi), but separation from them both is now well accepted in the literature. The sexes are alike in this generally brown-colored thrush, which is slightly paler below, with an obvious white ventral region and throat, the latter streaked darker, and a large, bulbous-looking, orange-yellow eye-ring. The bill is yellow and the legs are olive-colored. The Spectacled Thrush is principally arboreal, but regularly feeds on the ground, and its diet is relatively catholic."
White-eyed Thrush,Turdus jamaicensis,"The White-eyed Thrush is a common and distinctive thrush of montane and lowland forests and disturbed areas on the island of Jamaica. The body is gray overall, with darker upperparts than underparts. The head is chocolate brown, and the throat has white streaks on a brown background, bordered below by a white patch. The eye is white."
White-throated Thrush,Turdus assimilis,"Throughout its range, the White-throated Thrush varies markedly, its plumage extending across many shades of gray and brown—almost reaching black in some regions—while its bare parts cover the spectrum from subdued grayish yellow to vivid orange-yellow. This inconstancy might cause one to ask, “What is a White-throated Thrush?” A tempting answer would be, “A thrush with a white throat,” but that would be wrong for several reasons. The first (and most trivial, perhaps) is that the white “crescent” or “collar” for which this species is known crosses the upper chest more so than the throat. Truly, “White-collared Thrush"" would be more accurate. More importantly, the White-throated Thrush is far from the only Turdus with this characteristic as such is also borne by the similar White-necked Thrush (Turdus albicollis) and Dagua Thrush (Turdus daguae), both of which have been considered conspecific with the White-throated Thrush in the past. The three taxa differ significantly in mtDNA, and all three have differing vocalizations, plus the Dagua Thrush favors a different habitat. Perhaps these differences most accurately denote what constitutes a White-throated Thrush. Within White-throated Thrush, some authorities have recognized as many as 14 subspecies, though herein we recognize only nine. The most notable of these subspecies is the Coiba Thrush (Turdus assimilis coibensis), which occurs only on Coiba Island and nearby islets off of Panama. The Coiba Thrush is smaller than other populations of White-throated Thrush, it favors a different habitat, and apparently, it has a distinctive song; furthermore, its plumage is rather disparate from that of the nearest mainland subspecies, Turdus assimilis cnephosus. So, perhaps, there is yet another species of “white-throated thrush.”

In general, the White-throated Thrush breeds in and near humid forests of foothills and mountains (up to 3,000 m above sea level) from central and western Panama to northeastern and northwestern Mexico. Studies in Costa Rica suggest that it favors a patchwork of habitats that includes coffee plantations, shrubby pastures, and secondary growth as well as primary forest. During the nonbreeding season, some individuals move downslope and, overall, the species occupies a wider variety of habitats such as hedgerows and suburban gardens, especially when fruit is present. The diet of White-throated Thrush has not been well studied, but it is known to include a variety of fruits and small invertebrates. Foraging takes place mostly low in the vegetation, but these thrushes will drop to ground, where they flip leaves and and other litter aside with the bill, hoping for a meal beneath. White-throated Thrush is also known to follow army ant swarms.

The White-throated Thrush generally breeds from March into July. It typically places its nest 1–9 m above the ground in shrubs, small trees, Gynerium cane, or bamboo, especially when these are draped with vines. The nest, itself, is a bulky cup with a thick middle layer of mud, an outer layer of moss, and lining fashioned from grasses, stems, rootlets and similar material. Into this nest are placed two or three dull white to pale blue eggs densely mottled with brown and/or gray spots. With luck, the eggs hatch in 12–13 d and then the young fledge about 14 d thereafter. The fledgling remain near their nest for about 30 days, during which time (at least in part) they are dependent on their parents for food.

We know little of this species demography and numbers. Studies of nesting success have ranged from 16.9% to 98.5%, and so further investigations are clearly warranted. We know nothing of the species’ regional or global populations, nor whether its numbers are stable or not. Given its extensive range and that it is typically fairly common where it occurs, the current designation as a species of Least Concern by the IUCN is probably warranted."
Dagua Thrush,Turdus daguae,"The Dagua Thrush is a poorly known bird of lowland rainforests (up to 800 m) from the eastern Darién in southern Panama to southern Guayas in southern Ecuador, a distribution that it shares with a number of other bird species including Lita Woodpecker (Piculus litae) and Choco Manakin (Cryptopipo litae) as well as the horned marsupial frog (Gastrotheca cornuta) and Geoffroy's spider monkey (Ateles geoffroyi) in what is known as the Chocó-Darién ecoregion. Through much of its range, Dagua Thrush is relatively uncommon, though locally it can be numerous.

Direct knowledge of this species’ natural history and ecology is sparse. It appears to be sedentary, and it forages largely on the floor of mature forests, where the litter is thick and soft. Its diet and breeding habits are assumed to be similar to those of the closely related White-throated Thrush (Turdus assimilis) and White-necked Thrush (Turdus albicollis), and so it is thought to feed on fruits and small invertebrates, and the species likely builds a bulky cup-shaped nest that is placed 1–10 m above the ground into which it places 2–3 eggs; these are probably incubated for 12–13 days, and hatchlings presumably take about 14 days to fledge. There are no population estimates for the Dagua Thrush, either by country or in total.

This paucity of data may well be related, at least in part, to issues of taxonomy. The Dagua Thrush was long considered conspecific with the White-throated Thrush (Turdus assimilis), and was not recognized as a distinct species until recently, a change that was based on mtDNA data and apparent differences in song. Hopefully, this elevation to full species status will stimulate more research into the mysterious world of the Dagua Thrush."
Rufous-backed Robin,Turdus rufopalliatus,"Undoubtedly one of the most attractively plumaged thrushes in Middle America, the Rufous-backed Robin is endemic to Mexico, where it is reasonably widespread and common over western and central areas of the country. Males have a gray head, with a white throat that is neatly streaked with black, a deep rufous mantle and wing coverts, becoming gray over the wings and tail, and principally orange-chestnut underparts. Females are similar, but generally duller and less contrastingly plumaged. A separate population recognized at nomenclatural level, and sometimes even treated specifically, as Grayson’s Thrush (Turdus graysoni) is endemic to the Tres Marías Islands. In this taxon, the rufous coloration of mainland populations is replaced by brown, and the underparts are largely dull buff. The Rufous-backed Thrush is found in a wide variety of forest types, from semi-arid to humid, and at elevations ranging from sea level to at least 1500 m."
Rufous-collared Robin,Turdus rufitorques,"This handsome thrush is restricted to a small region of the highlands of Central America, from southern Mexico south to El Salvador and Honduras, and it is a much sought regional endemic. Yet within its limited distribution, Rufous-collared Robin is quite common, and may even be found in suburban areas, as well as in open forest. The key is that it needs some forested or wooded habitats nearby. The traveler from farther north will notice strong similarities in the voice and some aspects of the appearance of this thrush to American Robin (Turdus migratorius). In fact these two species appear to be each other’s closest relatives based on recent molecular data. Visually Rufous-collared Robin is striking: the head and body of males are blackish, with a bold and wide rufous collar on the nape, neck and breast, all accented by a bright yellow bill and legs."
American Robin,Turdus migratorius,"The American Robin is the largest, most abundant and broadly distributed thrush in North America. The presence of this songster in the backyard setting, together with its loud, musical voice, make it one of the most recognizable birds in North America. Indeed, the American Robin has been described as ""America's favorite songbird"" (1).

Ecologically speaking, the American Robin is impressive. Few species share its broad North American range, and ability to live in both anthropogenic and natural habitats. Its diet is highly variable across the annual cycle, changing from primarily soft-bodied invertebrates, especially earthworms, in spring and summer, to primarily fruit in autumn and winter. During the nonbreeding season, flocks of hundreds or thousands migrate to lower elevations and latitudes, where they form large communal roosts from which they track fruit resources. Despite being a classic sign of spring at northern latitudes, not all American Robin populations are migratory, and some spend the winter months close to their breeding grounds.

With some exceptions, American Robin breeding populations are stable or increasing across North America. Common in suburban parks and gardens, it appears to have benefited from urbanization and agricultural development. Early studies of American Robin nesting habits during the 1930s and 1940s still provide important data (2).

Despite being one of the most ubiquitous species in North America and serving as a model species in many studies, there is still much to be learned about the ecology of the American Robin. Of particular interest are studies of regional differences in reproduction, territoriality, communication, and migration, as well as the effects of humans on American Robin populations (e.g., landscape alteration, light and noise pollution, and climate change)."
La Selle Thrush,Turdus swalesi,"One of the last endemic birds to be described from Hispaniola, Alexander Wetmore discovered the La Selle Thrush on April 11, 1927 in a dense patch of cloud forest just below the summit of Morne La Viste in the Massif de la Selle mountain range. Long thought to be confined to this mountain range, it remained cloaked in mystery until 44 years later when it was found to the east in the Dominican Republic, high in the adjacent Sierra de Bahoruco mountains at Pie de Palo. A few years later In 1975 it was found north of the deep Neiba Valley/Cul de Sac Plain separating the Bahoruco mountains from the lush forests of SIerra de Neiba. Just a few months later it was discovered even farther northeast in the Cordillera Central near Constanza, Dominican Republic. Today, La Selle Thrush is still known to occupy these mountain ranges between 1,300-2,100 meters elevation where dense cloud and humid broadleaf forests, or a thick understory of broadleaf shrubs beneath native pines remains. La Selle Thrush is listed as Endangered by the IUCN Red List as there has been massive habitat loss and remaining patches are severely threatened by ongoing deforestation for agriculture as well as firewood and charcoal production, even within National Parks.

La Salle Thrush is typically a shy bird remaining hidden from sight in the forest understory and more often heard during crepuscular periods than seen. But it is sometimes found boldly feeding in the open on mountain paths and woods roads in plain sight. Its slate-black head and upper parts contrasting with rich rufous flanks and lower breast, and white belly allows it to meld into the dark forest it haunts. Its bright yellow-orange eye ring and bill contrast starkly with dark head feathers."
White-chinned Thrush,Turdus aurantius,"The White-chinned Thrush is a fairly common resident of Jamaica, and is a habitat generalist at most elevations, inhabiting primary and secondary forest, and forest edge and scrub.  The White-chinned Thush is mostly dark slaty-gray, with a small, white chin patch, a pale belly, red legs, and a red bill. Distinctive both standing and in flight is a white wing patch, created by white distal webs to the second and third from innermost greater secondary coverts. The distinctive, dimodal whistle call is given repeatedly, and this bird is brazen, spending ample time in the open, and foraging in fruiting trees and shrubs."
Grand Cayman Thrush,Turdus ravidus,"The beautiful Grand Cayman Thrush is extinct. The thrush was relatively common when first described in the 1880s, but was rare by the turn of the 19th century, and the last report came in 1938. It is unclear why this species went extinct, although habitat conversion, as well as hurricanes, have been blamed. This thrush was dark gray with a white belly, and dark, graduated tail with white tail corners; the bill and legs were bright red. The white-tipped tail, largely grayish plumage and red bare parts all suggest a close relationship with the Caribbean endemic Red-legged Thrush (Turdus plumbeus). Very little is known about this thrush as it was gone before much of the Caribbean was explored."
Red-legged Thrush,Turdus plumbeus,"The Western Red-legged Thrush is a non-migratory Caribbean species found in the Bahamas, Cuba with surrounding islands, and Cayman Brac; a now extinct population was found in Swan Islands. It consists of several, well-differentiated subspecies, all of which originally were described as full species. Common features are their bluish-gray upperparts, variegated tails that usually have white corners, throat with varying amounts of black and white, tarsi that are red or at least orange-yellow, a bill that is usually red (but may be black), and a usually red eye-ring; most subspecies have part of the underside orange to cinnamon. The Western Red-legged Thrush has a tendency to turn its tail somewhat upwards at least part of the time, and prefers to walk or run, but will fly away if disturbed. It occurs in various forested habitats with some differences in preference among the islands, but tolerates disturbed areas such as partial cutting or second growth. The Western Red-legged Thrush has wide-ranging food preferences, including fruits and seeds as well as invertebrates and small vertebrates. This adaptability seems to include both adult and nestling food. Nesting season seems to vary geographically, and clutch size is 3-5 in Cuba but may be different elsewhere. It does not face any immediate conservation threats, and is considered common across much of its range."
Forest Thrush,Turdus lherminieri,"The Forest Thrush is a shy forest dweller of a few of the Lesser Antillean Islands: Montserrat, Guadeloupe, Dominica and St. Lucia. It is found in moist and tall montane forest; not dry forest. This thrush is quite difficult to see, keeping to the midstory when singing and seldom moving much, and thus staying largely out of view. The song is a typical Turdus type song, slow and melodic.  It gives a harsh and rasping alarm note. The odd plumage of this thrush, showing white belly feathering edged in dark, so white spotted rather than dark spotted as in some other thrushes in addition to the bare yellow skin around the eye has kept this thrush in a genus all by itself. However recent molecular data shows it is clearly in the genus Turdus, but basal to a large division of South American and Old World thrushes, and that it is unrelated to all other thrushes in the Caribbean."
Varied Thrush,Ixoreus naevius,"The Varied Thrush breeds from Alaska to California in forests ""where spruce trees and alders and crowding ferns contend for a footing, and where a dank mist drenches the whole with a fructifying moisture"" (Dawson 1923: 769). Its contrasting black-and-orange plumage and eerie, penetrating song make it one of the most distinctive birds of Northwestern forests. Most individuals winter along the Pacific Coast from Alaska to southern California, with occasional individuals seen throughout the western United States and, during irruption years (peaks every 2-5 years), across the United States and Canada.

Shy behavior, a propensity for dark, wet forests, and low density have made it difficult to study this species in its breeding habitat. Recent studies suggest that it breeds most commonly in mature and old-growth forests and may be sensitive to forest fragmentation. Its distinctive song-a slow series of single drawn out notes at different pitches-""is as perfectly the voice of the cool, dark, peaceful solitude which the bird chooses for its home as could be imagined"" (L. A. Fuertes in Bent 1949: 92). Studies of song structure suggest that males vary the frequency and duration of their notes to reduce habituation by neighbors.

Other aspects of the breeding biology of this species remain poorly known. Most aspects of its migration are poorly studied, but there is some evidence that, in a leapfrog manner, northern breeding populations winter farther south than more southern- and coastal-breeding populations. During the breeding season, individuals forage for arthropods on the ground but switch to fruits, berries, and acorns during fall and winter. In winter, individuals congregate in loose flocks around food sources, where they often exhibit aggressive behavior toward conspecifics and other species.

The propensity for mature and old-growth forests, irruptive behavior, and distinctive song makes this species a good subject for conservation issues and behavioral studies. Studies in northern California have documented low abundance along forest edges (Brand 1998), which may explain the absence of this species from small (<16 hectares) forest patches during the breeding season (Hurt 1996). The aggressive behavior of this thrush in winter has been well described (Martin 1970b), as have its winter abundance and irruptive patterns (Wells et al. 1996a)."
Aztec Thrush,Ridgwayia pinicola,"Originally described in the genus Turdus, but within a few decades considered to be sufficiently distinctive to require its own genus, named for the great American ornithologist Robert Ridgway, the evocatively named Aztec Thrush is in many ways a special bird. It is endemic to western and central Mexico, where the species is found in humid pine, pine–oak, and pine–evergreen forests above 1800 m, and it can be frustratingly difficult to observe well. Knowledge of the species’ song can be very helpful in locating it. The male Aztec Thrush is principally very dark brown over the head, breast, and mantle, becoming grayish-white over the rest of the underparts, whilst the wings and tail are black, but delicately marked with white and buff, producing a complex pattern. Females share the neatly marked wings and tail, but are slightly paler brown over the rest of the upperparts, head, and neck, which possess are pale-streaked appearance, and there is also a suggestion of a pale supercilium."
Gray-streaked Flycatcher,Muscicapa griseisticta,"This account summarizes the life history of the Gray-streaked Flycatcher, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Asian Brown Flycatcher,Muscicapa dauurica,"Asian Brown Flycatcher was recently split into three species: (1) Asian Brown Flycatcher (Muscicapa dauurica), which here includes three subspecies (dauurica, siamensis, and poonensis), (2) Sulawesi Brown Flycatcher (Muscicapa sodhii), which is monotypic, and (3) Brown-streaked Flycatcher (Muscicapa williamsoni), which here includes two subspecies (williamsoni and umbrosa). Some of the information in this account may come from an older version that treats all of these species as a single species, and so may refer to one or more taxa. Care has been taken to try and remove information pertaining to the other species when possible."
Spotted Flycatcher,Muscicapa striata,"This account summarizes the life history of the Spotted Flycatcher, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Dark-sided Flycatcher,Muscicapa sibirica,"This account summarizes the life history of the Dark-sided Flycatcher, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
White-rumped Shama,Copsychus malabaricus,"Native to southeast Asia, India, and some Indonesian islands, the White-rumped Shama was deliberately introduced to the Hawaiian Archipelago in 1931 as part of an early effort to supplement the native fauna. White-rumped Shamas were released on Kaua'i and O'ahu islands and are now common on both islands. The species is found in a wide range of habitats, including native and introduced forests, agricultural land, and suburban yards. Because it prefers areas with dense undergrowth, it is more often heard than seen. It has striking plumage and a clear, melodious song that can be heard from several hundred meters away, although aural identification is complicated by the species' tendency to mimic other species.

Although introduced bird species may have contributed to the decline of native Hawaiian bird species through competition for food resources or nesting sites, there is no evidence to confirm that the White-rumped Shama has had any negative impacts on native species through direct competition. However, White-rumped Shama populations may act as reservoirs for introduced diseases, such as avian malaria, to which native Hawaiian birds have little resistance.

Very little information is available on the demography or behavior of the White-rumped Shama in the Hawaiian Islands. Although this species is both common and easily observed on O'ahu and Kaua'i islands, only one study has focused specifically on any aspect of White-rumped Shama biology in the Hawaiian Islands (1), and even this is limited in scope. All other data have been collected incidentally to other projects or as part of general forest bird surveys. Much work remains to be done on this species and its role in Hawaiian ecosystems.

Since Hawaiian populations may have diverged behaviorally or morphologically from populations of the same subspecies in southeast Asia, all information presented in this account is based on studies of populations in the Hawaiian Islands, unless otherwise noted."
European Robin,Erithacus rubecula,"The European Robin, sometimes still referred to as the ""robin redbreast"" in Britain due to its vivid orange face and breast, is a small, feisty, and territorial passerine bird. A familiar species throughout much of its range, the European Robin frequently appears on Christmas cards and decorations—a tradition likely rooted in Victorian-era postmen who were nicknamed ""robins"" for their bright red uniforms. Throughout the rest of the year, the European Robin is known for its confident, fearless nature as it accompanies gardeners, foraging in disturbed soil for insects and earthworms.

Despite the epithet “redbreast,” the European Robin has a distinctly orange face and breast and is olive-brown above, with a pale bluish-gray neck band and clean white belly. The sexes are similar in appearance. Juveniles, however, differ markedly; they lack the orange breast, and have heavily mottled brown-and-buff plumage. Its song—a complex mix of high, silvery warbles and fading, drawn-out notes—is given mainly by males in spring and summer, but a more subdued, melodic “autumn song” is given by both sexes during the rest of the year, even in the midwinter darkness. Both sexes are highly territorial and sing outside the breeding season to dissuade intruders.

The diet of the European Robin consists primarily of invertebrates, but the species opportunistically consumes fruit when available, along with seeds, small vertebrates, and carrion. Its diet often reflects fruit availability, more than arthropod scarcity. Its foraging behaviors can include both perch-and-pounce hunting from low posts and ground-hopping through cover. The species’ habit of accompanying gardeners parallels its existing ecological tendency to follow other animals, such as pheasants and moles, to exploit invertebrates exposed as they disturb the soil.

The European Robin occupies a broad range from the Mediterranean basin north to the United Kingdom, Scandinavia, and western Russia, and east to Iran. Migration patterns vary regionally: eastern populations typically migrate south in winter, whereas western birds are largely resident or only partially migratory, with females more likely to move at this season. The species inhabits a wide range of environments, including forest edges, farmland thickets, and urban parks and gardens, favoring shaded areas with medium-height cover and patches of bare ground.

Though once thought to be a thrush (Turdidae), modern molecular-phylogenetic analysis places the European Robin in the chat subfamily of the Old World flycatchers (Muscicapidae). There are nine accepted subspecies, but the geographic variation between most subspecies is minimal and intergradation is common. The species is classified as Least Concern globally, with a large, stable European population."
Siberian Blue Robin,Larvivora cyane,"This account summarizes the life history of the Siberian Blue Robin, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Rufous-tailed Robin,Larvivora sibilans,"This account summarizes the life history of the Rufous-tailed Robin, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Bluethroat,Luscinia svecica,"The spectacular markings of the male Bluethroat make sighting this songbird of Alaskan tundra and dwarf-shrub meadows a memorable experience. The species is also an accomplished mimic, having been recorded mimicking more than 50 species of birds and other sounds across its range. Despite the male's conspicuous coloration, this small thrush, or chat, as known in the Old World, tends to be secretive and hard to see, often skulking wrenlike through thick vegetation, and easily visible only while performing its flight displays or singing from an exposed perch. When seen in the open, the Bluethroat often jerks or holds its tail up and quickly fans it open to flash the rufous patches at the base.

This bird occurs widely across Europe and Asia, but is restricted to northern and western Alaska and the Yukon Territory in North America, where it has received little attention to date. The first reported sighting in Alaska was in 1851 near St. Michael in the Norton Sound (Adams 1878). The first evidence of breeding (a female carrying food) was not observed until 1899 (Grinnell 1900a), and the first nest was not found until 1928 (Bailey 1948). While much is known about the Bluethroat in Europe, within Alaska it is practically unstudied; its range in Alaska is not well known, and breeding activity has been recorded in relatively few locations. The most intensive study of this species in Alaska was conducted at Cape Romanzof on the Bering Sea coast of the Yukon-Kuskokwim Delta (McCaffery 2001). An excellent reference for European populations and the species in general throughout its range is Cramp 1988; the reader is directed to that source for detailed information on other populations when data are not presented here."
Siberian Rubythroat,Calliope calliope,"This account summarizes the life history of the Tenggara Whistler, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Red-flanked Bluetail,Tarsiger cyanurus,"This account summarizes the life history of the Red-flanked Bluetail, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Narcissus Flycatcher,Ficedula narcissina,"A characteristic bird of forests of the main islands of Japan and of Ussuriland, the male Narcissus Flycatcher has eye-catching black, orange-yellow, and white plumage, while the female is extremely drab. The male is similar only to the Yellow-rumped Flycatcher (F. zanthopygia) of eastern mainland Asia, while the female is most like female Ryukyu Flycatcher (F. owstoni). Generally neither very common nor conspicuous, but the male's song is highly varied, musical, and mimetic. They feed on insects within trees and by flycatching, and also take some fruits. Narcissus Flycatchers build cup-shaped nests in a variety of sheltered situations, even accepting nestboxes, and winter to Hainan, northern Borneo, and the Philippines."
Mugimaki Flycatcher,Ficedula mugimaki,"This account summarizes the life history of the Mugimaki Flycatcher, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Taiga Flycatcher,Ficedula albicilla,"This account summarizes the life history of the Taiga Flycatcher, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Common Redstart,Phoenicurus phoenicurus,"Often detected by its tight trills in the Patagonian steppe, the Band-tailed Earthcreeper is a stocky member of the Furnariidae. Once thought to be an Argentine endemic, the species has recently been found in extreme southern Chile (northeastern Magallanes), north of the Strait of Magellan. It is gray-brown above with a white supercilium and throat, and a long, dark brown tail with a rufous base. Once placed in the genus Eremobius, it is now included in the reinstated genus Ochetorhynchus along with other Patagonian earthcreepers and the Crag Chilia (Ochetorhynchus melanurus)."
Rufous-tailed Rock-thrush,Monticola saxatilis,"The Rufous-tailed Rock-Thrush is a striking, sexually dimorphic species that breeds in rocky, mountainous regions across southern Europe, northwestern Africa, and parts of Asia. During the nonbreeding season, the entire population migrates to Africa, except for small numbers that winter in the southern Arabian Peninsula.

Females have a whitish chin, grayish-brown upperparts with weak buff spotting and scaling, orange-buff underparts with strong gray-brown scaling, and a plain orange-buff vent. Males have vivid blue heads, rust-colored tails, and bright orange underparts.

This species primarily feeds on insects and other invertebrates. It scans for food from a perch on a rock, roof, or tree, then drops or flies down to the ground to catch prey before returning to its perch. During the breeding season, it inhabits open, stony areas and cliffs, favoring elevations from sea level up to 3,000 meters. It often nests under rock overhangs, in horizontal rock crevices, or in walls or ruins, and lays 3–6 eggs per clutch, with both parents involved in caring for the young. Its preference for rocky habitats makes it less susceptible to habitat loss than some species, though changes in land use and agricultural practices have led to local declines."
Blue Rock-thrush,Monticola solitarius,"This account summarizes the life history of the Blue Rock-Thrush, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Asian Stonechat,Saxicola maurus,"Editor's Note: Due to recent taxonomic revisions, this species account is still being edited and may contain content from an earlier version of the account, and may also include content from one or more species. Future revisions of this account will address these discrepancies."
Northern Wheatear,Oenanthe oenanthe,"An endemic breeder in the Atlas Mountains and adjacent ridges of Morocco and Algeria, the Atlas Wheatear occupies sparsely vegetated habitats, montane meadows with low vegetation and scattered boulders, bare stony plateaus, and mountain slopes with sparse xerophytic vegetation, chiefly above 1,500 meters elevation. Although formerly reported to be resident or only a partial migrant, it is currently viewed as a migratory with the majority of the population migrating southwest to overwinter at lower elevations in the Sahel of southwestern Mauritania, northern Senegal, and northwestern Mali. Although closely related to the Northern Wheatear (Oenanthe oenanthe), adult breeding males in the Atlas Wheatear differ strongly in plumage with their extensive black face and throat, pale ash-gray upperparts, and black underwing coverts; adult females and formative males and females can be more difficult to distinguish from Northern Wheatear (see Plumages).

Originally described as a distinct species, the Atlas Wheatear has long been considered conspecific with the Northern Wheatear. Its taxonomic status is still debated, and available genetic evidence suggests very low divergence; mitochondrial DNA, both traditional sequence data and whole mitochondrial genome data, show Oenanthe seebohmi as embedded within Oenanthe oenanthe, and fail to find any of the subspecies as genetically distinct. These results stand in contrast to differences in plumage, as well as ecological differences, which support recognition of the Atlas Wheatear as a distinct species (see Systematics)."
Pied Wheatear,Oenanthe pleschanka,"This account summarizes the life history of the Pied Wheatear, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status."
Olive Warbler,Peucedramus taeniatus,"Although the Olive Warbler has long been associated with the New World wood-warblers (Emberizidae: Parulinae), evidence from anatomical and DNA studies suggests it is not a warbler at all, instead placing this species in its own monotypic family, Peucedramidae, a family that lies outside the radiation of passerines with nine primaries. Surprisingly, given historical arguments about phylogeny, recent molecular studies suggest that the Prunellidae, the small Old World family of accentors, is the Olive Warbler's nearest extant relative (see Systematics).

The Olive Warbler is an oscine with orange-brown head and 9 primaries that is generally found in pine forests of high mountains from Nicaragua north into central Arizona and southwestern New Mexico. Also found in mixed pine-oak (Pinus-Quercus) woodlands, it uses pines almost exclusively for foraging and nesting. Males, at least of northern populations, require 2 years to acquire full adult plumage. Although relatively common, this species has been studied little in the field. It is a bird of the high canopy that nests far out on high branches of pines; F. C. Willard (Willard 1910c) described a 5-hour effort of climbing within a single tree to find one nest. Discovery of other aspects of this species' breeding biology also require much effort for small sample sizes. Many of the observations reported here are anecdotal or were incidental to other studies; few stem from studies in Mexico, which contains most of the species' range (see Figure 1 ).

This warbler has been properly associated with the specific name taeniatus only since 1948 (Zimmer 1948). Older literature refers to the Olive Warbler as either Dendroica olivacea or Peucedramus olivaceus."
Village Weaver,Ploceus cucullatus,"This widespread resident of sub-Saharan Africa has several well-established populations in the West Indies, and in recent years seems also to have become established at one locality in northwest Venezuela. It is not precisely known when the Village Weaver arrived on Hispaniola, but it presumably came with slave-trade ships, perhaps as early as the end of the 18th century, and apparently initially became established in Haiti. It is now and common and widespread in the Dominican Republic too, although numbers have apparently declined since the 1980s, in part due to efforts to the curb the population. From the Hispaniola mainland, it has also spread to the offshore islands of Saona and Catalina, and the species has also appeared in Martinique since the 1970s."
Northern Red Bishop,Euplectes franciscanus,"Alternatively named the Orange Bishop, this native of sub-Saharan Africa has naturalised populations in parts of southern Europe and the USA, as well as our region. In the Neotropics the species was first reported from the island of Puerto Rico around 1971, although it is speculated to have arrived during the previous decade, perhaps from Senegal. On Puerto it is locally uncommon on the north coast and rare elsewhere in the island’s coastal lowlands, where it feeds on rice seedlings. Since the 1980s the Northern Red Bishop has also become established in the Lesser Antilles, on Martinique and Guadeloupe, and there are also even more recent records on St. Croix, Jamaica, and Cuba. In addition, recent records are also available from South America, in northern Venezuela."
Yellow-crowned Bishop,Euplectes afer,"Also known as the Golden Bishop, the Yellow-crowned Bishop is a widespread resident of sub-Saharan Africa, where it is found from Senegal east to Ethiopia, and south to South Africa, which has been introduced in parts of southern Europe, as well as in Japan. In the Neotropics this species was first reported on Puerto Rico in the early 1970s, where it is uncommon at around three localities scattered over the island, while there are also reports from two localities in southern Jamaica since the late 1980s, but there is no up-to-date information on the species’ status in the latter country."
Pin-tailed Whydah,Vidua macroura,"Male Pin-tailed Whydahs are highly distinctive birds in breeding plumage, principally clad in black and white, with a red bill, and long tail plumes. Non-breeding males and females are similar in warm brown above, with a red bill, and black-and-white facial stripes. The species is a native of sub-Saharan Africa, where it is widely distributed, but in the Neotropics it is confined to the West Indies, and specifically the island of Puerto Rico, where it was probably introduced (apparently from Senegal) sometime in the 1960s, although the first reported sighting was not until 1971. It is currently an uncommon and local resident throughout the coastal plains, although there are also observations from the interior mountains."
